aachen	Аахен
valog	Валог
abaza	Абаза
aberdeen	Абърдийн
abidjan	Абиджан
terter	Тертер
stolut	Столът
ablanitsa	Абланица
abrit	Абрит
abuja	Абуджа
accra	Акра
adelaide	Аделейд
agadir	Агадир
agatovo	Агатово
agerola	Аджерола
aglen	Ъглен
agri	Агръ
aix-en-provence	Екс ан Прованс
aix-les-bains	Екс ле Бен
zheglarci	Жегларци
akandzhievo	Аканджиево
akatsievo	Акациево
akheloj	Ахелой
akheloy	Ахелой
akhladhea	Блатчен
akhladhokhorion	Крушево
akhmatovo	Ахматово
akhrjansko	Ахрянско
akhryansko	Ахрянско
voden	Воден
akranes	Акранес
aksakovo	Аксаково
aksum	Аксум
alabama	Алабама
tsokevtsi	Цокевци
alamovtsi	Аламовци
alar	Алар
alaska	Аляска
albantsi	Албанци
tumbevtsi	Тумбевци
albena	Албена
albinea	Албинеа
albino	Албино
albuquerque	Албакърки
alcek	Алцек
aldomirovci	Алдомировци
aldomirovtsi	Алдомирци
aleko-konstantinovo	Алеко-Константинов
alekovo	Алеково
venets	Венец
vidrar	Видрар
aleksandrow	Александров
alekseevo	Алексеево
yuper	Юпер
alessandria	Алесандрия
alexandria	Александрия
alexandroupolis	Александруполис
somovit	Сомовит
algeciras	Алхесирас
algiers	Алжир
aligovska	Алиговска
alino	Алино
alloa	Алоа
almaty	Алмати
almeria	Алмерия
al'ovgrob	Альовгроб
altimir	Алтимир
altsek	Алцек
alvanovo	Алваново
amalfi	Амалфи
amboise	Амбоаз
vasilovci	Василовци
taymishte	Таймище
amsterdam	Амстердам
anaheim	Анахайм
anchorage	Анкоридж
andalucia	Андалусия
vokil	Вокил
strazhets	Стражец
sukhodol	Суходол
angelarij	Ангеларий
angelariy	Ангеларий
angelov	Ангелов
angelovo	Ангелово
angers	Анже
angistron	Сенгельово
anguilla	Ангуила
ankara	Анкара
antalya	Анталия
antananarivo	Антананариво
antarctica	Антарктида
antimovo	Антимово
antioch	Антакия
antofagasta	Антофагаста
zetjovo	Зетьово
antonovo	Антоново
antwerpen	Антверпен
aosta	Аоста
aplatsi	Аплаци
aprica	Априка
aprilci	Априлци
sredec	Средец
zemen	Земен
aqaba	Акаба
arad	Арад
arbanasi	Арбанаси
archar	Арчар
umarevci	Умаревци
arda	arda
yambol	Ямбол
velichkovo	Величково
arhus	Орхус
arica	Арика
arizona	Аризона
arkansas	Арканзас
arkona	Аркона
tukhovishta	Туховища
arles	Арл
arlington	Арлингтън
armenite	Армените
surnica	Сърница
arnautito	Арнаутино
arnhem	Арнем
arona	Арона
arpadzhik	Арпаджик
yonkovo	Йонково
stoykite	Стойките
arzan	Арзан
asen	Асен
asenovci	Асеновци
asenovec	Асеновец
asenovets	Асеновец
asenovgrad	Асеновград
asenovo	Асеново
trem	Трем
ashgabat	Ашхабад
telish	Телиш
asparukhovo	Аспарухово
zhilentsi	Жиленци
assisi	Асизи
astana	Астана
telcharka	Телчарка
asuncion	Асунсион
aswan	Асуан
atanasovo	Атанасово
athens	Атина
srednogortsi	Средногорци
temnisko	Темнишко
atolovo	Атолово
atrani	Атрани
zagorsko	Загорско
auch	Ош
auckland	Окланд
austa	Ауста
austin	Остин
avarua	Аваруа
avignon	Авиньон
avramovo	Аврамово
avramovska	Аврамовска
avren	Аврен
aydarovo	Айдарово
aydemir	Айдемир
aydin	Айдън
yazovets	Язовец
aytos	Айтос
azmanite	Азманите
baalbek	Баалбек
stoevtsi	Стоевци
babinci	Бабинци
babino	Бабино
spakhievo	Спахиево
zmeitsa	Змеица
vrudlovtsi	Връдловци
zimovina	Зимовина
babovo	Бабово
babruysk	Бобруйск
babuk	Бабук
babyak	Бабяк
weimar	Ваймар
bachevo	Бачево
bachiishte	Бачище
bachkovo	Бачково
baden-wuerttemberg	Баден-Вюртемберг
badevtsi	Бадевци
badino	Бадино
baevtsi	Баевци
vsemirtsi	Всемирци
baghdad	Багдад
bagra	Багра
bagrenci	Багренци
bagrentsi	Багренци
bagrilci	Багрилци
utrecht	Утрехт
bagrjanka	Багрянка
bagryanka	Багрянка
bajachevo	Баячево
tsaparevo	Цапарево
bajkovo	Байково
bajlovo	Байлово
bakalite	Бакалите
bakersfield	Бейкърсфилд
bakhalin	Бахалин
bakhovica	Баховица
bakhovitsa	Баховица
bakhretsi	Бахреци
bak'ovo	Бакьово
baku	Баку
balabanchevo	Балабанчево
balabanovo	Балабаново
balabanska	Балабанска
balabansko	Балабанско
balaleya	Балалея
balanite	Баланите
balanovo	Баланово
balantsite	Баланците
balchik	Балчик
baldevo	Балдево
balej	Балей
baley	Балей
balik	Балик
zvezden	Звезден
balintsovo	Балинцово
balkanets	Балканец
balkan	Балкан
balkanski	Балкански
balkantsi	Балканци
balkh	Балх
bal'ovtsi	Бальовци
svirchovo	Свирчово
balti	Белци
baltimore	Балтимор
sukholoevtsi	Сухолоевци
balvan	Балван
balvantsite	Балванците
balyuvitsa	Балювица
sredkovets	Средковец
bamberg	Бамберг
banari	Банари
banchovtsi	Банчовци
banevo	Банево
bangeytsi	Бангейци
zhultusha	Жълтица
zhelen	Желен
banica	Баница
tournai	Турне
staykovtsi	Стайковци
baniska	Баниска
banite	Баните
banitsa	Баница
banja	Баня
bankovets	Банковец
bankovtsi	Банковци
sredna	Средна
banovo	Баново
bansko	Банско
banya	Баня
ba`qubah	Бакуба
baracoa	Баракоа
barakhelite	Барачелите
barakovo	Бараково
baranavichy	Барановичи
vaksevo	vaksevo
baratsi	Бараци
tsenovtsi	Ценовци
barcelona	Барселона
wadowice	Вадовице
bar	Бар
barranquilla	Баранкиля
barutin	Барутин
basarbovo	Басарбово
suevtsi	Суевци
basel	Базел
bashevo	Башево
bashhino	Бащино
bashtino	Бащино
baskaltsi	Баскалци
batak	Батак
bata	Бата
batanovci	Батановци
batanovtsi	Батановци
batantsi	Батанци
batin	Батин
vladimirovo	Владимирово
batishnitsa	Батишница
batkovtsi	Батковци
batkun	Баткун
batoshevo	Батошево
batovo	Батово
batuliya	Батулия
batultsi	Батулци
bat'umi	Батуми
baurene	Баурене
bautzen	Бауцен
bayachevo	Байчево
bayamon	Баямон
voynezha	Войнежа
baykalsko	Байкалско
baykovo	Байково
baylovo	Байлово
bayonne	Байон
waterbury	Уотърбъри
bayovtsi	Байовци
bayreuth	Байройт
venchan	Венчан
vidlitsa	Видица
bebrovo	Беброво
beden	Беден
bedil	Бедил
bedrovo	Бедрово
stracin	Страцин
beersheba	Беер Шева
beglezh	Беглеж
vetren	Ветрен
begovo	Бегово
begunci	Бегунци
begunovtsi	Бегуновци
beguntsi	Бегунци
beijing	Пекин
beirut	Бейрут
bekriite	Бекриите
srebroto	Среброто
belashhica	Белащица
belashtitsa	Белащница
belasica	Беласица
belasitsa	Беласица
srednogorci	Средногорци
belchin	Белчин
belcov	Белцов
belega	Белега
belenci	Беленци
belene	Белене
belentsi	Беленци
stroevo	Строево
belevren	Белеврен
belfast	Белфаст
spasovo	Спасово
belgun	Белгун
topolovec	Тополовец
stavanger	Ставангер
belila	Белила
belimel	Белимел
zmejovo	Змейово
belintsi	Белинци
syanovo	Сяново
belitsa	Белица
belize	Белиз
beljakovec	Беляковец
varnentsi	Варненци
belmopan	Белмопан
belodol	Белодол
belogradchik	Белоградчик
belogradec	Белоградец
belogradets	Белоградец
beloklas	Белоклас
belokopitovo	Белокопитово
belomorci	Беломорци
belomortsi	Беломорци
belomuzhite	Беломъжите
belopolci	Белополци
belopoltsi	Белополци
belopolyane	Белополяне
belopopci	Белопопци
belopoptsi	Белопопци
beloptichene	Белоптичене
vinitsa	Виница
belotinci	Белотинци
belotintsi	Белотинци
belovec	Беловец
belovets	Беловец
belovica	Беловица
belovitsa	Беловица
belovo	Белово
bel'ovo	Бельово
belozem	Белозем
beltsov	Белцов
belyakovets	Беляковец
belyanovets	Беляновец
belyanovo	Беляново
bengalore	Бангалор
benghazi	Бенгази
benkovski	Бенковски
berayntsi	Берайнци
berende	Беренде
bergama	Бергама
bergamo	Бергамо
bergen	Берген
berievo	Бериево
berkeley	Бъркли
ugoryalkovtsi	Угорялковци
berkovski	Берковски
yovchevtsi	Йовчевци
berlin	Берлин
bermuda	Бермудски о-ви
zlatosel	Златосел
beronovo	Бероново
yasenite	Ясените
tsvetino	цветино
beslen	Беслен
velislav	Велислав
bethune	Бетюн
beykovtsi	Бейковци
bezdenica	Безденица
bezden	Безден
bezhanovo	Бежаново
bezhantsi	Бежанци
veles	Велес
bezvodica	Безводица
bezvoditsa	Безводица
bezvodno	Безводно
bialystok	Бялисток
yarebichno	Яребично
bilbao	Билбао
bilintsi	Билинци
bilka	Билка
bilkini	Билкини
zlatopole	Златополе
bilo	Било
bilyanska	Билянска
bilyartsi	Билярци
binche	Бенш
zoychene	Зоичене
stambolijski	Стамболийски
vergina	Кутлеш
birmingham	Бирмингам
biserci	Бисерци
biser	Бисер
bisertsi	Бисерци
bishkek	Бишкек
bismarck	Бисмарк
bistra	Бистра
bistrec	Бистрец
bistrenci	Бистренци
bistrentsi	Бистренци
strumeshnica	Струмешница
bistrica	Бистрица
bistrilitsa	Бистрилица
vetrintsi	Балван махала
bistritsa	Бистрица
bistrogled	Бистроглед
bitola	Битоля
bivolare	Биволаре
bivoljane	Биволяне
zhabokrut	Жабокрът
bivolyane	Биволяне
usoyka	Усойка
bjaga	Бяга
bjala	Бяла
blagoevgrad	Благоевград
blagoevo	Благоево
blagovets	Благовец
blagovo	Благово
blagun	Благун
tsvyatkovtsi	Цвятковци
blateshnitsa	Блатешница
blatets	Блатец
blatino	Блатино
blatnitsa	Блатница
blato	Блато
blatoto	Блатото
topoli	Тополи
blazhievo	Блажиево
blenika	Бленика
blera	Блера
blgarene	Българене
bliznaci	Близнаци
bliznak	Близнак
bliznatsi	Близнаци
bliznets	Близнец
bloemfontein	Блумфонтейн
bluskovo	Блъсково
sovolyano	Соволяново
boazut	Боазъ
bobeshino	Бобешино
bobevtsi	Бобевци
boblingen	Бьоблинген
boboratsi	Бобараци
boboshevo	Бобочево
bobovdol	Бобовдол
struja	Струя
bochkovtsi	Бошковци
bodenec	Боденец
bodenets	Боденец
zaka	Зака
bodrovtsi	Бодровци
bodrum	Бодрум
zabel	Забел
boeritsa	Боерица
zhitnitsa	Житница
boevska	Боевска
starchishte	Старчище
bogatino	Богатино
bogatovo	Богатово
uzunovo	Узуново
bogdanci	Богданци
bogdanica	Богданица
bogdanitsa	Богданица
bogdan	Богдан
bogdanliya	Богданлия
bogdanovdol	Богдановдол
bogdanovo	Богданово
bogdanovtsi	Богдановци
trivodici	Триводици
bogdantsi	Богданци
bogoina	Боголина
bogolin	Боголин
bogolonta	Боголотна
zagore	Загоре
bogomil	Богомил
bogomilovo	Богомилово
bogomiltsi	Богомилци
bogomolsko	Богомолско
bogorovo	Богорово
stareyshino	Старейшино
bogota	Богота
sredoselci	Средоселци
bogutevo	Богутево
boil	Боил
bojadzhik	Бояджик
bojana	Бояна
bojanci	Боянци
vurlishte	Върлище
bojanovo	Бояново
bojno	Бойно
bokhot	Бохот
bokhova	Бохова
yan'ovets	Яновец
boljarci	Болярци
boljarino	Болярино
boljarsko	Болярско
bologna	Болоня
boltata	Болтата
bolyarino	Болярово
bolyarovo	Болярово
svoboden	Свободен
bolyartsi	Болярци
voynitsite	Войниците
bonevo	Бонево
bonn	Бон
borci	Борци
bordeaux	Бордо
vitevtsi	Витевци
boren	Борен
zhiten	Житен
trakiya	Тракия
borieva	Бориева
borika	Борика
boriki	Борики
borikovo	Бориково
borilovec	Бориловец
borilovets	Бориловец
borilovo	Борилово
trave	Траве
borimechkovo	Боримечково
